epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,267.266,1.28779,0.50673,0.93157,0.96685,0.97144,0.98985,0.73701,1.51769,0.52733,0.90505,0.000828443,0.000828443,0.000828443
43,273.232,1.22121,0.48088,0.92048,0.97865,0.97647,0.99262,0.76489,1.356,0.48648,0.88207,0.000820525,0.000820525,0.000820525
44,279.244,1.21535,0.47565,0.9155,0.97187,0.97368,0.99104,0.78671,1.24163,0.50095,0.8779,0.000812468,0.000812468,0.000812468
45,285.19,1.18837,0.47901,0.90778,0.97262,0.97647,0.99111,0.74244,1.49582,0.50882,0.88798,0.000804277,0.000804277,0.000804277
46,291.327,1.18856,0.47159,0.91122,0.97476,0.98053,0.99153,0.79044,1.22705,0.47537,0.88059,0.000795954,0.000795954,0.000795954
47,297.058,1.15537,0.45873,0.91019,0.96494,0.97508,0.98765,0.78496,1.23588,0.47241,0.87691,0.000787503,0.000787503,0.000787503
48,303.102,1.21109,0.46711,0.90897,0.97147,0.97556,0.99085,0.81461,1.13261,0.47133,0.88457,0.000778929,0.000778929,0.000778929
49,309.197,1.20007,0.47385,0.91044,0.97972,0.97878,0.99238,0.71139,1.70622,0.52726,0.90466,0.000770234,0.000770234,0.000770234
50,315.249,1.16602,0.46445,0.91167,0.97639,0.97345,0.99114,0.71947,1.60944,0.51631,0.9028,0.000761423,0.000761423,0.000761423
51,321.257,1.25492,0.47765,0.92031,0.96295,0.96925,0.98812,0.81444,1.0468,0.48908,0.872,0.0007525,0.0007525,0.0007525
52,327.357,1.16476,0.45841,0.90779,0.97004,0.97531,0.9902,0.8165,1.10497,0.45982,0.87557,0.000743468,0.000743468,0.000743468
53,333.551,1.14652,0.45245,0.90881,0.97855,0.97759,0.99277,0.72266,1.57841,0.50061,0.88615,0.000734332,0.000734332,0.000734332
54,339.695,1.1788,0.45098,0.91249,0.97767,0.97601,0.99185,0.7913,1.24687,0.46545,0.87387,0.000725094,0.000725094,0.000725094
55,345.62,1.18336,0.45849,0.90713,0.96487,0.97253,0.99013,0.81908,1.08104,0.45957,0.86762,0.000715761,0.000715761,0.000715761
56,351.924,1.25942,0.46383,0.91717,0.97306,0.97088,0.99064,0.79796,1.17662,0.48189,0.8735,0.000706335,0.000706335,0.000706335
57,357.696,1.16585,0.45106,0.91447,0.97642,0.97927,0.9919,0.75472,1.44556,0.48257,0.87925,0.00069682,0.00069682,0.00069682
58,363.952,1.11574,0.4341,0.9018,0.9734,0.98041,0.99216,0.78369,1.2376,0.45855,0.86887,0.000687222,0.000687222,0.000687222
59,370.147,1.0859,0.43461,0.89943,0.97317,0.97857,0.99228,0.83097,1.02848,0.43327,0.86059,0.000677543,0.000677543,0.000677543
60,376.55,1.10063,0.43231,0.89263,0.97334,0.97624,0.99124,0.8115,1.14064,0.44605,0.86472,0.000667789,0.000667789,0.000667789
61,382.571,1.1183,0.44049,0.89745,0.97854,0.9771,0.99219,0.68084,1.86479,0.5257,0.91059,0.000657963,0.000657963,0.000657963
62,388.522,1.08572,0.42442,0.88465,0.97598,0.97904,0.99146,0.82382,1.0756,0.42955,0.86143,0.000648071,0.000648071,0.000648071
63,394.835,1.1191,0.4293,0.89911,0.97506,0.97434,0.99227,0.78521,1.27655,0.47861,0.87823,0.000638115,0.000638115,0.000638115
64,401.014,1.10445,0.42655,0.89444,0.98045,0.98183,0.99219,0.72852,1.60267,0.4862,0.88385,0.000628101,0.000628101,0.000628101
65,407.162,1.07963,0.41454,0.8934,0.97628,0.9781,0.99196,0.79745,1.22021,0.44549,0.86482,0.000618034,0.000618034,0.000618034
66,413.435,1.15439,0.42339,0.89089,0.96944,0.97531,0.99147,0.837,0.9764,0.43056,0.85838,0.000607916,0.000607916,0.000607916
67,419.912,1.15254,0.43042,0.89405,0.97862,0.98106,0.99269,0.70174,1.71862,0.50701,0.90172,0.000597754,0.000597754,0.000597754
68,426.286,1.11807,0.42293,0.9002,0.97902,0.97829,0.99225,0.80493,1.19951,0.43998,0.86803,0.000587551,0.000587551,0.000587551
69,432.336,1.08748,0.41425,0.89463,0.97422,0.97711,0.99138,0.81248,1.15119,0.43041,0.86256,0.000577311,0.000577311,0.000577311
70,438.579,1.09437,0.41457,0.89432,0.97833,0.97824,0.99277,0.77277,1.38228,0.45758,0.87646,0.00056704,0.00056704,0.00056704
71,444.548,1.09968,0.41623,0.89953,0.97494,0.97904,0.99215,0.79443,1.25204,0.43801,0.87491,0.000556742,0.000556742,0.000556742
72,450.502,1.10828,0.41161,0.88704,0.97297,0.97461,0.99202,0.83825,0.97835,0.42132,0.85319,0.000546421,0.000546421,0.000546421
73,456.556,1.12293,0.4195,0.90066,0.97647,0.9765,0.99259,0.7439,1.51325,0.4762,0.88167,0.000536081,0.000536081,0.000536081
74,462.527,1.04323,0.40093,0.88633,0.97733,0.9802,0.99261,0.80172,1.19533,0.42634,0.8602,0.000525728,0.000525728,0.000525728
75,468.318,1.04514,0.40153,0.89098,0.97593,0.9802,0.99261,0.81469,1.1336,0.4222,0.85902,0.000515366,0.000515366,0.000515366
76,474.315,1.04474,0.4019,0.88729,0.97701,0.97987,0.99223,0.80611,1.1966,0.42701,0.86287,0.000505,0.000505,0.000505
77,480.655,1.05209,0.39977,0.88993,0.97981,0.98416,0.99225,0.72434,1.64663,0.47523,0.88942,0.000494634,0.000494634,0.000494634
78,486.846,1.02471,0.395,0.88083,0.96961,0.9809,0.99135,0.83234,1.03329,0.41217,0.85708,0.000484272,0.000484272,0.000484272
79,492.958,1.0287,0.39386,0.8804,0.97075,0.97904,0.99151,0.84787,0.95668,0.40665,0.85277,0.000473919,0.000473919,0.000473919
80,499.256,1.03117,0.39535,0.88322,0.97894,0.98486,0.99296,0.76993,1.41136,0.43998,0.87085,0.000463579,0.000463579,0.000463579
81,505.203,1.03154,0.39047,0.88104,0.97984,0.98514,0.9926,0.81571,1.14494,0.41196,0.85618,0.000453258,0.000453258,0.000453258
82,511.726,1.04436,0.39153,0.88584,0.97584,0.98067,0.99218,0.83049,1.06677,0.40908,0.85686,0.00044296,0.00044296,0.00044296
83,517.615,1.02186,0.39066,0.88482,0.98022,0.981,0.99285,0.78114,1.34736,0.43648,0.86554,0.000432689,0.000432689,0.000432689
84,523.535,1.00136,0.38387,0.87662,0.98436,0.9781,0.99234,0.83287,1.0409,0.40325,0.85113,0.000422449,0.000422449,0.000422449
85,529.512,1.01756,0.3834,0.87881,0.97909,0.98148,0.99281,0.82879,1.0544,0.40812,0.85383,0.000412246,0.000412246,0.000412246
86,535.632,0.98337,0.38071,0.87337,0.97982,0.98415,0.99253,0.753,1.52983,0.4549,0.87636,0.000402084,0.000402084,0.000402084
87,541.374,0.99714,0.38164,0.87597,0.9769,0.98206,0.9921,0.85281,0.93825,0.38327,0.84594,0.000391966,0.000391966,0.000391966
88,547.635,0.99995,0.38021,0.8767,0.97365,0.98139,0.9922,0.81864,1.13264,0.40689,0.85496,0.000381899,0.000381899,0.000381899
89,553.479,0.9977,0.38008,0.87701,0.97238,0.98411,0.99209,0.81149,1.16011,0.40969,0.85771,0.000371885,0.000371885,0.000371885
90,559.544,1.00261,0.37728,0.87256,0.97731,0.98393,0.99238,0.85456,0.9293,0.38356,0.8442,0.000361929,0.000361929,0.000361929
91,565.749,1.01603,0.37981,0.87502,0.98386,0.97992,0.99293,0.78354,1.32538,0.43296,0.86205,0.000352037,0.000352037,0.000352037
92,571.888,0.9651,0.37365,0.87099,0.97947,0.97813,0.99245,0.84859,0.94881,0.38696,0.84648,0.000342211,0.000342211,0.000342211
93,578.147,0.96526,0.3702,0.87187,0.97555,0.97927,0.99192,0.82609,1.09532,0.40251,0.84976,0.000332457,0.000332457,0.000332457
94,584.062,0.92623,0.36059,0.86846,0.97549,0.98289,0.99246,0.82051,1.12772,0.40076,0.85525,0.000322778,0.000322778,0.000322778
95,589.929,0.93843,0.36452,0.87028,0.97765,0.97826,0.99218,0.82763,1.08287,0.39364,0.85027,0.00031318,0.00031318,0.00031318
96,596.213,0.9633,0.36673,0.87084,0.97222,0.97829,0.99175,0.83357,1.04883,0.39114,0.84901,0.000303665,0.000303665,0.000303665
97,602.114,0.94072,0.36556,0.87008,0.96903,0.98395,0.99185,0.82762,1.07136,0.39612,0.84888,0.000294239,0.000294239,0.000294239
98,608.139,0.9507,0.36449,0.86746,0.97396,0.98468,0.99223,0.81939,1.12293,0.39519,0.85078,0.000284906,0.000284906,0.000284906
99,614.284,0.92352,0.35758,0.86889,0.97531,0.97556,0.99167,0.82963,1.04699,0.39306,0.84972,0.000275668,0.000275668,0.000275668
100,620.28,0.92891,0.3572,0.86599,0.97992,0.97784,0.9926,0.83791,1.01971,0.38603,0.84621,0.000266532,0.000266532,0.000266532
101,626.172,0.95753,0.36523,0.87258,0.97809,0.9809,0.99254,0.79938,1.23213,0.4077,0.85484,0.0002575,0.0002575,0.0002575
102,632.045,0.91028,0.35436,0.86508,0.9759,0.98043,0.99236,0.83487,1.04328,0.3815,0.84642,0.000248577,0.000248577,0.000248577
103,637.821,0.93044,0.35829,0.87015,0.97097,0.98323,0.99263,0.82953,1.0823,0.38763,0.84845,0.000239766,0.000239766,0.000239766
104,643.788,0.91907,0.3572,0.8673,0.97769,0.9823,0.99227,0.82246,1.12342,0.39393,0.84895,0.000231071,0.000231071,0.000231071
105,649.944,0.92943,0.35784,0.86607,0.97193,0.98384,0.99206,0.85724,0.90977,0.36991,0.84043,0.000222497,0.000222497,0.000222497
106,656.133,0.95355,0.35952,0.86649,0.97873,0.98719,0.99308,0.78887,1.30485,0.41277,0.85625,0.000214046,0.000214046,0.000214046
107,662.387,0.94925,0.35993,0.86272,0.97238,0.98396,0.99235,0.86102,0.89015,0.3702,0.84109,0.000205723,0.000205723,0.000205723
108,668.626,0.94059,0.35668,0.86576,0.98228,0.98125,0.99269,0.81221,1.18593,0.39725,0.85093,0.000197532,0.000197532,0.000197532
109,674.73,0.90453,0.35062,0.86236,0.9776,0.98206,0.99283,0.83728,1.04834,0.37753,0.84341,0.000189475,0.000189475,0.000189475
110,681.1,0.90953,0.34503,0.86207,0.97842,0.98198,0.99267,0.81579,1.17756,0.39373,0.84923,0.000181557,0.000181557,0.000181557
111,687.138,0.89358,0.34662,0.85917,0.97881,0.97929,0.99289,0.85178,0.96237,0.36956,0.8413,0.00017378,0.00017378,0.00017378
112,693.227,0.86254,0.33793,0.85866,0.9759,0.98486,0.99306,0.84921,0.98435,0.37307,0.84205,0.000166149,0.000166149,0.000166149
113,699.206,0.882,0.34645,0.86048,0.97625,0.9862,0.99304,0.82665,1.10283,0.38593,0.84635,0.000158667,0.000158667,0.000158667
114,705.547,0.88851,0.34445,0.86683,0.97541,0.98323,0.9932,0.85381,0.95007,0.36579,0.83975,0.000151336,0.000151336,0.000151336
115,711.707,0.86411,0.33913,0.85617,0.97975,0.98509,0.99299,0.81889,1.13291,0.38629,0.84691,0.000144161,0.000144161,0.000144161
