epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,446.68,1.64262,0.61212,0.95717,0.94492,0.94509,0.97221,0.62041,1.96676,0.64628,0.95524,0.000828443,0.000828443,0.000828443
43,453.075,1.6272,0.61226,0.96068,0.95439,0.94298,0.97126,0.64519,1.82165,0.62898,0.93916,0.000820525,0.000820525,0.000820525
44,459.747,1.65515,0.62131,0.96166,0.94338,0.94511,0.96828,0.64947,1.72246,0.62003,0.93583,0.000812468,0.000812468,0.000812468
45,466.59,1.65526,0.61923,0.96589,0.94628,0.92466,0.96095,0.56475,2.18112,0.68796,0.96273,0.000804277,0.000804277,0.000804277
46,486.547,1.6141,0.61143,0.95273,0.94931,0.93514,0.96565,0.6185,1.97453,0.65588,0.94329,0.000795954,0.000795954,0.000795954
47,493.177,1.55225,0.58951,0.94014,0.95222,0.94283,0.97416,0.62342,1.91826,0.62759,0.94367,0.000787503,0.000787503,0.000787503
48,499.301,1.55549,0.58852,0.94659,0.94795,0.92317,0.96715,0.68196,1.58971,0.61555,0.93152,0.000778929,0.000778929,0.000778929
49,505.346,1.57335,0.58879,0.94576,0.9491,0.94479,0.97508,0.64643,1.80162,0.61456,0.93137,0.000770234,0.000770234,0.000770234
50,511.404,1.63265,0.60515,0.95179,0.94808,0.92714,0.96087,0.62073,1.90539,0.64307,0.9337,0.000761423,0.000761423,0.000761423
51,517.462,1.59317,0.59524,0.95476,0.94599,0.94283,0.96954,0.62018,1.95615,0.63202,0.93498,0.0007525,0.0007525,0.0007525
52,525.146,1.54579,0.57745,0.93921,0.95416,0.94513,0.97319,0.6458,1.82312,0.60699,0.92576,0.000743468,0.000743468,0.000743468
53,531.801,1.59522,0.58993,0.94398,0.9461,0.94,0.97196,0.68244,1.58861,0.5971,0.92232,0.000734332,0.000734332,0.000734332
54,537.996,1.69656,0.59648,0.96256,0.94833,0.94449,0.9709,0.56287,2.26596,0.68905,0.96737,0.000725094,0.000725094,0.000725094
55,543.741,1.60712,0.59485,0.95068,0.95325,0.93106,0.96685,0.63651,1.86455,0.6269,0.93741,0.000715761,0.000715761,0.000715761
56,549.574,1.57885,0.58339,0.95325,0.94691,0.94166,0.96847,0.63961,1.80988,0.64122,0.92856,0.000706335,0.000706335,0.000706335
57,555.507,1.57102,0.58682,0.94,0.95523,0.93016,0.96614,0.58525,2.16319,0.65252,0.94964,0.00069682,0.00069682,0.00069682
58,561.664,1.64191,0.59025,0.95161,0.95991,0.94207,0.9728,0.60154,2.08886,0.63204,0.94683,0.000687222,0.000687222,0.000687222
59,568.469,1.51612,0.56546,0.93337,0.95877,0.94011,0.97526,0.68695,1.59818,0.57385,0.9145,0.000677543,0.000677543,0.000677543
60,574.804,1.50227,0.55919,0.93315,0.95184,0.93626,0.9749,0.68989,1.57212,0.58856,0.93192,0.000667789,0.000667789,0.000667789
61,581.067,1.57165,0.57279,0.9388,0.95116,0.94297,0.97269,0.6329,1.95688,0.61848,0.93498,0.000657963,0.000657963,0.000657963
62,587.078,1.5204,0.55875,0.93667,0.95859,0.94629,0.97319,0.63008,1.89234,0.60892,0.93364,0.000648071,0.000648071,0.000648071
63,593.253,1.47212,0.54463,0.92235,0.95797,0.95324,0.97519,0.66272,1.73436,0.58173,0.92059,0.000638115,0.000638115,0.000638115
64,600.01,1.48303,0.54436,0.92574,0.96329,0.95016,0.97559,0.65873,1.75398,0.57738,0.92106,0.000628101,0.000628101,0.000628101
65,606.121,1.51721,0.54668,0.93179,0.96062,0.95414,0.97633,0.64618,1.83964,0.58346,0.92133,0.000618034,0.000618034,0.000618034
66,612.158,1.46368,0.53564,0.92723,0.95682,0.94254,0.97202,0.63475,1.85834,0.60352,0.92288,0.000607916,0.000607916,0.000607916
67,618.079,1.48705,0.53583,0.92723,0.9575,0.95127,0.97801,0.67915,1.64447,0.56081,0.9138,0.000597754,0.000597754,0.000597754
68,624.192,1.47672,0.52825,0.92239,0.96387,0.94615,0.97895,0.69805,1.53292,0.5494,0.90773,0.000587551,0.000587551,0.000587551
69,630.378,1.5599,0.54718,0.92898,0.95787,0.95004,0.97678,0.63644,1.90092,0.59078,0.92156,0.000577311,0.000577311,0.000577311
70,637.033,1.47374,0.53173,0.92702,0.96193,0.94531,0.97739,0.68865,1.57003,0.55965,0.91044,0.00056704,0.00056704,0.00056704
71,643.336,1.44413,0.52018,0.91713,0.96019,0.94959,0.97588,0.64601,1.87415,0.58117,0.91513,0.000556742,0.000556742,0.000556742
72,650.167,1.46271,0.52236,0.92431,0.96149,0.9475,0.97199,0.64644,1.84348,0.58059,0.91742,0.000546421,0.000546421,0.000546421
73,655.97,1.44344,0.5188,0.92578,0.95791,0.95431,0.97545,0.68692,1.58143,0.55288,0.9046,0.000536081,0.000536081,0.000536081
74,662.069,1.48622,0.52331,0.92586,0.9541,0.95003,0.97473,0.59091,2.17552,0.61141,0.93393,0.000525728,0.000525728,0.000525728
75,668.554,1.51558,0.52756,0.92421,0.95757,0.93964,0.96854,0.64902,1.77201,0.57968,0.91546,0.000515366,0.000515366,0.000515366
76,675.142,1.45756,0.51952,0.92096,0.95575,0.94808,0.97515,0.69271,1.56832,0.55194,0.90736,0.000505,0.000505,0.000505
77,681.266,1.49039,0.52764,0.92596,0.96066,0.95067,0.97661,0.69252,1.57812,0.56034,0.91414,0.000494634,0.000494634,0.000494634
78,687.091,1.49561,0.52561,0.92752,0.95757,0.94977,0.97321,0.59975,2.10931,0.61191,0.93642,0.000484272,0.000484272,0.000484272
79,693.533,1.48476,0.52805,0.92562,0.9572,0.95477,0.97696,0.6844,1.61322,0.5537,0.91161,0.000473919,0.000473919,0.000473919
80,699.687,1.4313,0.51027,0.91778,0.95888,0.95127,0.97503,0.69538,1.55912,0.55438,0.90706,0.000463579,0.000463579,0.000463579
81,706.249,1.47308,0.52922,0.92475,0.96525,0.94705,0.97723,0.66378,1.76595,0.57051,0.91327,0.000453258,0.000453258,0.000453258
82,713.07,1.449,0.51222,0.91202,0.9566,0.95427,0.97638,0.69394,1.5684,0.54123,0.8989,0.00044296,0.00044296,0.00044296
83,719.771,1.46521,0.51513,0.92098,0.95946,0.94237,0.97235,0.65313,1.79389,0.57044,0.91008,0.000432689,0.000432689,0.000432689
84,725.995,1.45157,0.51116,0.9139,0.95661,0.9558,0.97598,0.68402,1.63558,0.54462,0.91088,0.000422449,0.000422449,0.000422449
