epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,802.793,1.19979,0.42939,0.94166,0.95368,0.97624,0.98589,0.77626,1.31216,0.45167,0.89758,0.000828443,0.000828443,0.000828443
43,821.538,1.19138,0.41807,0.94741,0.96532,0.97269,0.989,0.80133,1.16811,0.423,0.88532,0.000820525,0.000820525,0.000820525
44,840.672,1.23147,0.42576,0.95892,0.9475,0.96699,0.98297,0.80738,1.07196,0.44743,0.88232,0.000812468,0.000812468,0.000812468
45,859.855,1.1823,0.418,0.94286,0.97741,0.9677,0.98703,0.61092,2.25316,0.54443,1.0077,0.000804277,0.000804277,0.000804277
46,878.478,1.11816,0.39653,0.92959,0.94786,0.95272,0.98144,0.80681,1.0434,0.44113,0.87967,0.000795954,0.000795954,0.000795954
47,897.131,1.16657,0.40981,0.93913,0.96454,0.96949,0.98821,0.7827,1.2421,0.44022,0.88772,0.000787503,0.000787503,0.000787503
48,915.669,1.1852,0.40345,0.93367,0.94732,0.97368,0.98394,0.82129,1.03769,0.42217,0.87824,0.000778929,0.000778929,0.000778929
49,934.84,1.26281,0.42083,0.95003,0.97625,0.97368,0.99139,0.74518,1.50664,0.44442,0.89982,0.000770234,0.000770234,0.000770234
50,953.55,1.09153,0.38556,0.9319,0.97277,0.98194,0.99176,0.78705,1.29298,0.41805,0.88267,0.000761423,0.000761423,0.000761423
51,972.434,1.11349,0.39008,0.92403,0.96089,0.97205,0.98779,0.83916,0.96352,0.3851,0.86047,0.0007525,0.0007525,0.0007525
52,991.838,1.08808,0.38147,0.92299,0.9667,0.96704,0.98844,0.80079,1.20519,0.41057,0.88207,0.000743468,0.000743468,0.000743468
53,1010.8,1.14817,0.39089,0.93529,0.98125,0.97834,0.99245,0.69308,1.78855,0.46534,0.92743,0.000734332,0.000734332,0.000734332
54,1029.53,1.10047,0.38571,0.92976,0.96775,0.96622,0.98779,0.84081,0.96631,0.40119,0.86604,0.000725094,0.000725094,0.000725094
55,1051.15,1.06875,0.37222,0.91326,0.96741,0.97834,0.98982,0.82985,1.03865,0.38205,0.85766,0.000715761,0.000715761,0.000715761
56,1070.05,1.13787,0.38504,0.92393,0.96551,0.97834,0.99019,0.82194,1.08193,0.40289,0.87035,0.000706335,0.000706335,0.000706335
57,1089.15,1.10335,0.37918,0.9364,0.9814,0.97857,0.99198,0.75215,1.49512,0.43505,0.90411,0.00069682,0.00069682,0.00069682
58,1107.84,1.07531,0.3698,0.92214,0.97391,0.98244,0.99162,0.77818,1.29831,0.41817,0.87931,0.000687222,0.000687222,0.000687222
59,1126.66,1.09195,0.37918,0.92335,0.97956,0.97118,0.99105,0.84445,0.97236,0.36405,0.85519,0.000677543,0.000677543,0.000677543
60,1146.03,1.14042,0.38586,0.93136,0.97407,0.97122,0.99074,0.79632,1.23113,0.40174,0.88726,0.000667789,0.000667789,0.000667789
61,1165.24,1.04647,0.36482,0.92089,0.98435,0.97461,0.99191,0.81361,1.11222,0.38022,0.87026,0.000657963,0.000657963,0.000657963
62,1184.21,1.04554,0.36191,0.90899,0.96361,0.98206,0.98988,0.77956,1.32614,0.40378,0.89248,0.000648071,0.000648071,0.000648071
63,1203.32,1.06059,0.36456,0.92446,0.97365,0.97554,0.99253,0.77709,1.36673,0.40622,0.88949,0.000638115,0.000638115,0.000638115
64,1222.33,1.03973,0.35968,0.91268,0.96469,0.97251,0.98926,0.81082,1.14062,0.38912,0.87264,0.000628101,0.000628101,0.000628101
65,1241.55,0.99684,0.35429,0.90831,0.98035,0.98067,0.99207,0.79838,1.21628,0.38813,0.87153,0.000618034,0.000618034,0.000618034
66,1260.73,1.04628,0.35304,0.90775,0.97879,0.97828,0.99187,0.81973,1.11977,0.37293,0.86548,0.000607916,0.000607916,0.000607916
67,1279.71,1.00695,0.34807,0.89517,0.96526,0.97092,0.99007,0.83762,0.98479,0.37093,0.86007,0.000597754,0.000597754,0.000597754
