epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,554.87,1.48738,0.50475,0.94453,0.96206,0.93981,0.97836,0.63288,1.93965,0.5712,0.92592,0.000828443,0.000828443,0.000828443
43,566.03,1.53704,0.51306,0.94858,0.96424,0.95158,0.98207,0.67699,1.66105,0.53083,0.90634,0.000820525,0.000820525,0.000820525
44,577.145,1.54127,0.51025,0.95043,0.95961,0.95384,0.97887,0.69714,1.50283,0.53102,0.91032,0.000812468,0.000812468,0.000812468
45,588.415,1.60037,0.53579,0.96834,0.96609,0.94557,0.97899,0.64511,1.84133,0.56671,0.92886,0.000804277,0.000804277,0.000804277
46,598.919,1.46926,0.50202,0.93944,0.96363,0.95116,0.97897,0.69966,1.55381,0.51266,0.90288,0.000795954,0.000795954,0.000795954
47,610.698,1.41004,0.47555,0.92642,0.96774,0.95493,0.97987,0.67602,1.67314,0.5283,0.91439,0.000787503,0.000787503,0.000787503
48,621.137,1.4418,0.48788,0.94177,0.95845,0.94931,0.97332,0.68889,1.6088,0.51286,0.91503,0.000778929,0.000778929,0.000778929
49,631.99,1.47633,0.49232,0.939,0.96774,0.95414,0.97908,0.63746,1.9115,0.54646,0.92706,0.000770234,0.000770234,0.000770234
50,642.643,1.52901,0.50657,0.95499,0.96609,0.95248,0.98013,0.639,1.91871,0.54703,0.92611,0.000761423,0.000761423,0.000761423
51,653.247,1.48753,0.49874,0.94342,0.9668,0.95097,0.9771,0.68907,1.61532,0.52977,0.90413,0.0007525,0.0007525,0.0007525
52,663.624,1.47687,0.50343,0.9407,0.96944,0.95244,0.98008,0.70253,1.58738,0.50496,0.91339,0.000743468,0.000743468,0.000743468
53,675.097,1.51991,0.49973,0.95188,0.96303,0.95218,0.9775,0.63227,1.88509,0.55621,0.93096,0.000734332,0.000734332,0.000734332
54,685.756,1.44435,0.47954,0.94333,0.96513,0.94779,0.97636,0.65053,1.79896,0.53381,0.92604,0.000725094,0.000725094,0.000725094
55,696.325,1.42028,0.46872,0.93242,0.96634,0.94834,0.97759,0.66271,1.80124,0.53844,0.92096,0.000715761,0.000715761,0.000715761
56,707.265,1.43011,0.48415,0.94104,0.967,0.95067,0.98131,0.68775,1.63816,0.52826,0.91172,0.000706335,0.000706335,0.000706335
57,718.002,1.38892,0.4705,0.92767,0.96638,0.94527,0.97478,0.67795,1.68071,0.5184,0.91713,0.00069682,0.00069682,0.00069682
58,728.649,1.42977,0.47226,0.92801,0.96119,0.95263,0.97815,0.6878,1.64444,0.52092,0.91326,0.000687222,0.000687222,0.000687222
59,739.534,1.40555,0.48264,0.92839,0.96794,0.95308,0.97789,0.66634,1.7461,0.52861,0.91587,0.000677543,0.000677543,0.000677543
60,750.545,1.35529,0.45949,0.9235,0.96379,0.95158,0.97666,0.64505,1.83004,0.53548,0.9157,0.000667789,0.000667789,0.000667789
61,761.14,1.4018,0.46579,0.92533,0.96399,0.95295,0.97864,0.67172,1.73089,0.50237,0.91847,0.000657963,0.000657963,0.000657963
62,771.93,1.3979,0.47049,0.92773,0.95938,0.95482,0.97923,0.69021,1.62809,0.51906,0.90671,0.000648071,0.000648071,0.000648071
63,782.575,1.42431,0.46616,0.921,0.96002,0.95791,0.98183,0.68661,1.62257,0.52403,0.91887,0.000638115,0.000638115,0.000638115
64,794.127,1.44151,0.47662,0.93319,0.96843,0.95052,0.98199,0.68379,1.66204,0.51415,0.90452,0.000628101,0.000628101,0.000628101
65,804.786,1.37094,0.45176,0.91784,0.97364,0.95324,0.98351,0.69939,1.56273,0.49556,0.89283,0.000618034,0.000618034,0.000618034
66,815.676,1.32802,0.44397,0.91595,0.96948,0.96309,0.98184,0.70008,1.56469,0.48116,0.89863,0.000607916,0.000607916,0.000607916
67,826.833,1.38257,0.45099,0.92038,0.97042,0.95776,0.98136,0.69326,1.63672,0.48763,0.89781,0.000597754,0.000597754,0.000597754
68,837.94,1.34987,0.44668,0.91425,0.96895,0.9564,0.97889,0.68355,1.70662,0.50175,0.90458,0.000587551,0.000587551,0.000587551
69,848.567,1.37047,0.45191,0.91628,0.9714,0.94886,0.97637,0.66934,1.67633,0.53116,0.90933,0.000577311,0.000577311,0.000577311
70,859.371,1.33886,0.4404,0.91955,0.96781,0.95687,0.98247,0.68688,1.69007,0.49809,0.89926,0.00056704,0.00056704,0.00056704
71,870.532,1.31984,0.43719,0.90941,0.96981,0.95948,0.98169,0.6868,1.66099,0.49969,0.90082,0.000556742,0.000556742,0.000556742
72,881.225,1.37052,0.44456,0.92228,0.96946,0.95278,0.9724,0.65951,1.74745,0.57314,0.91098,0.000546421,0.000546421,0.000546421
73,892.167,1.37245,0.4467,0.92469,0.96916,0.96063,0.9803,0.69706,1.55058,0.51012,0.89687,0.000536081,0.000536081,0.000536081
74,902.642,1.35714,0.43762,0.92042,0.96783,0.95806,0.98022,0.65957,1.7774,0.51077,0.9067,0.000525728,0.000525728,0.000525728
75,913.445,1.36317,0.44035,0.9174,0.97217,0.95893,0.97802,0.66146,1.80376,0.50711,0.90857,0.000515366,0.000515366,0.000515366
76,924.06,1.37159,0.43535,0.91684,0.97111,0.95791,0.98048,0.72245,1.49016,0.47411,0.89142,0.000505,0.000505,0.000505
77,935.582,1.37647,0.43461,0.91895,0.96811,0.94992,0.97886,0.70327,1.54741,0.50022,0.90203,0.000494634,0.000494634,0.000494634
78,946.097,1.39393,0.43804,0.91738,0.96958,0.95535,0.98038,0.65844,1.83494,0.52537,0.91299,0.000484272,0.000484272,0.000484272
79,956.861,1.35795,0.43205,0.91558,0.96989,0.96209,0.98259,0.71488,1.52513,0.46403,0.88887,0.000473919,0.000473919,0.000473919
80,967.522,1.28859,0.41428,0.90853,0.97108,0.96033,0.98249,0.72543,1.46104,0.46406,0.8926,0.000463579,0.000463579,0.000463579
81,978.887,1.29513,0.41574,0.90633,0.96617,0.96088,0.98058,0.70289,1.58819,0.47983,0.90082,0.000453258,0.000453258,0.000453258
82,989.761,1.32197,0.42379,0.90527,0.9668,0.95761,0.97645,0.67914,1.70052,0.48991,0.90389,0.00044296,0.00044296,0.00044296
83,1000.55,1.33609,0.42035,0.91106,0.96915,0.96214,0.98207,0.71219,1.54384,0.4774,0.89124,0.000432689,0.000432689,0.000432689
84,1012.1,1.34965,0.4253,0.9081,0.9732,0.95852,0.9819,0.69094,1.65233,0.47808,0.90065,0.000422449,0.000422449,0.000422449
85,1023.07,1.36636,0.4302,0.9157,0.96791,0.95995,0.98106,0.7031,1.55695,0.47558,0.89573,0.000412246,0.000412246,0.000412246
86,1034.42,1.29554,0.41546,0.90176,0.96994,0.95972,0.98076,0.72403,1.48099,0.47092,0.88822,0.000402084,0.000402084,0.000402084
87,1045.18,1.28723,0.41143,0.90147,0.96972,0.96229,0.9818,0.70879,1.59725,0.47544,0.89382,0.000391966,0.000391966,0.000391966
88,1056.09,1.27347,0.40952,0.9015,0.97265,0.95479,0.98218,0.71416,1.50949,0.46507,0.89182,0.000381899,0.000381899,0.000381899
89,1066.8,1.27893,0.40404,0.90546,0.97344,0.96259,0.98306,0.71197,1.52319,0.46212,0.89464,0.000371885,0.000371885,0.000371885
90,1077.48,1.27429,0.40643,0.89941,0.96893,0.95942,0.98023,0.70941,1.57187,0.47199,0.89216,0.000361929,0.000361929,0.000361929
91,1087.94,1.29693,0.40182,0.8975,0.97211,0.96123,0.98259,0.72614,1.46652,0.45453,0.88908,0.000352037,0.000352037,0.000352037
92,1099.21,1.30378,0.40395,0.90726,0.96982,0.96259,0.98041,0.69642,1.63572,0.4736,0.89618,0.000342211,0.000342211,0.000342211
93,1109.65,1.24044,0.3906,0.89337,0.97181,0.96183,0.98263,0.72665,1.47246,0.45187,0.88809,0.000332457,0.000332457,0.000332457
94,1120.72,1.25488,0.39609,0.88891,0.97295,0.96153,0.98312,0.7238,1.48458,0.46547,0.89216,0.000322778,0.000322778,0.000322778
95,1131.75,1.26823,0.39657,0.8956,0.97482,0.95957,0.98136,0.69532,1.65607,0.47952,0.89978,0.00031318,0.00031318,0.00031318
96,1142.58,1.25097,0.39327,0.89391,0.97314,0.96033,0.98219,0.71945,1.50869,0.45824,0.89112,0.000303665,0.000303665,0.000303665
97,1153.47,1.24693,0.39235,0.89545,0.97119,0.96153,0.97919,0.71157,1.55151,0.47077,0.89104,0.000294239,0.000294239,0.000294239
98,1164.54,1.26094,0.39185,0.89613,0.97306,0.96093,0.97617,0.71202,1.55347,0.47142,0.89199,0.000284906,0.000284906,0.000284906
