epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,539.268,1.12125,0.41322,0.91165,0.97508,0.97514,0.98989,0.75357,1.44821,0.45599,0.88758,0.000828443,0.000828443,0.000828443
43,551.901,1.17613,0.42296,0.92006,0.94133,0.96042,0.97822,0.81552,1.10837,0.46299,0.88792,0.000820525,0.000820525,0.000820525
44,564.696,1.24959,0.44134,0.93641,0.95506,0.97517,0.98304,0.78874,1.2813,0.46035,0.88226,0.000812468,0.000812468,0.000812468
45,577.517,1.10548,0.41095,0.91046,0.98,0.98144,0.99216,0.744,1.49752,0.44941,0.8873,0.000804277,0.000804277,0.000804277
46,590.19,1.11851,0.40874,0.90838,0.97996,0.97952,0.9915,0.79123,1.18617,0.42589,0.87022,0.000795954,0.000795954,0.000795954
47,602.861,1.0827,0.39853,0.90599,0.97013,0.97787,0.98932,0.83519,1.00646,0.41133,0.86215,0.000787503,0.000787503,0.000787503
48,615.871,1.10291,0.39388,0.90212,0.96156,0.97577,0.98721,0.81744,1.10941,0.42234,0.87379,0.000778929,0.000778929,0.000778929
49,628.449,1.08234,0.38774,0.90386,0.97827,0.97519,0.99104,0.78573,1.32313,0.42935,0.87574,0.000770234,0.000770234,0.000770234
50,641.113,1.05657,0.38068,0.90354,0.98042,0.97965,0.99135,0.77409,1.3141,0.42019,0.87777,0.000761423,0.000761423,0.000761423
51,654.222,1.17123,0.3991,0.91685,0.96906,0.97438,0.99026,0.83197,1.00921,0.39897,0.85886,0.0007525,0.0007525,0.0007525
52,666.967,1.09858,0.38312,0.90802,0.96077,0.97541,0.98655,0.81367,1.13206,0.40929,0.87277,0.000743468,0.000743468,0.000743468
53,679.873,1.08705,0.37521,0.91138,0.97976,0.97764,0.99193,0.77248,1.40187,0.42383,0.88126,0.000734332,0.000734332,0.000734332
54,692.689,1.06166,0.37795,0.90875,0.97399,0.97706,0.99059,0.79921,1.23514,0.41276,0.8711,0.000725094,0.000725094,0.000725094
55,705.377,1.11844,0.38974,0.90541,0.9606,0.9795,0.98848,0.83715,1.00158,0.40225,0.85675,0.000715761,0.000715761,0.000715761
56,718.414,1.1312,0.39433,0.90893,0.97517,0.97414,0.99074,0.79989,1.23332,0.41107,0.86594,0.000706335,0.000706335,0.000706335
57,731.16,1.03659,0.37522,0.90371,0.97885,0.9781,0.99183,0.75258,1.48802,0.42673,0.8847,0.00069682,0.00069682,0.00069682
58,743.963,1.02849,0.36628,0.8985,0.97843,0.9826,0.99195,0.78585,1.2738,0.40621,0.86887,0.000687222,0.000687222,0.000687222
59,756.631,0.99762,0.36295,0.89524,0.98147,0.97473,0.99141,0.85043,0.94978,0.36414,0.84759,0.000677543,0.000677543,0.000677543
60,770.165,1.01024,0.36588,0.88901,0.97058,0.97834,0.99034,0.84216,0.99061,0.37609,0.85557,0.000667789,0.000667789,0.000667789
